,Unnamed: 0,filename,AttackType:Reconnaissance,AttackType:SocialEngineering,AttackType:Malware,AttackType:CredentialPhishing,Attacker Title,Urgency of the attack email,DateAndTime:Date,DateAndTime:time,Attacker Offering,AttackerLocation:Country,AttackerLocation:Region,AttackerLocation:City,AttackerLocation:Country From Content,Attacker Relationship,AttackerSentiment:polarity,AttackerSentiment:subjectivity,AttackerLanguageStyle:misspelling,AttackerLanguageStyle:randomCapital,Estimated Age,Attacker IP Known As Phisher,Total Deaths and Injuries,Total Damage,Disaster Count,GDP per capita,Internet Use,Age dependency,URL Label,URL Length,URL Classification,cosineCluster,ediCluster,jaccardCluster
1071,1071,1962.json,True,False,False,False,son,0,2005-11-11,21:58,Money,Senegal,Unknown,Unknown,Senegal,stranger,0.05,0.38,2,1,35.0,unknown,237562.0,6680.0,68.0,1237.21,4.79,88.55,,,,cluster 1,cluster 22,cluster 3
1072,1072,1963.json,True,False,False,False,wife,1,2005-11-13,19:38,Money,Nigeria,Lagos,Lagos,Unknown,stranger,0.07,0.47,1,1,33.0,very high,237562.0,6680.0,68.0,1848.19,3.55,86.62,,,,cluster 12,cluster 2,cluster 2
1073,1073,1964.json,True,False,False,False,no title exist,1,2005-11-14,01:49,Money,United Kingdom,Unknown,Unknown,United Kingdom,stranger,0.12,0.32,1,1,33.0,unknown,237562.0,6680.0,68.0,39984.17,70.0,51.55,,,,cluster 10,cluster 28,cluster 13
1074,1074,1965.json,True,False,False,True,no title exist,1,2005-11-14,11:02,Money,United Arab Emirates,Unknown,Unknown,United Arab Emirates,stranger,0.15,0.42,1,2,33.0,unknown,237562.0,6680.0,68.0,56092.92,40.0,23.81,,,,cluster 12,cluster 22,cluster 3
1075,1075,1966.json,True,False,True,False,no title exist,2,2005-11-14,13:00,Money,Senegal,Unknown,Unknown,Senegal,stranger,0.04,0.41,2,1,30.0,unknown,237562.0,6680.0,68.0,1237.21,4.79,88.55,good,long,Arts,cluster 3,cluster 18,cluster 13
1076,1076,1967.json,True,False,False,True,no title exist,1,2005-11-15,00:59,Money,Singapore,Unknown,Unknown,Singapore,stranger,0.06,0.41,1,1,35.0,unknown,237562.0,6680.0,68.0,40498.71,61.0,32.28,,,,cluster 11,cluster 27,cluster 3
1077,1077,1968.json,True,True,False,False,girl,2,2005-11-15,13:47,Service,Senegal,Unknown,Unknown,Senegal,stranger,0.08,0.45,2,3,33.0,unknown,237562.0,6680.0,68.0,1237.21,4.79,88.55,,,,cluster 4,cluster 1,cluster 12
1078,1078,1969.json,True,True,True,True,manager,2,2005-11-16,12:20,Money,Nigeria,Lagos,Lagos,Unknown,stranger,0.05,0.44,1,1,32.0,very high,237562.0,6680.0,68.0,1848.19,3.55,86.62,good,short,Adult,cluster 9,cluster 3,cluster 11
1079,1079,197.json,True,False,True,False,no title exist,0,2003-05-01,10:04,Money,United Kingdom,England,City of Westminster,Unknown,stranger,0.09,0.46,2,1,33.0,low,96784.0,11282.3,82.0,38331.61,64.82,52.39,,short,,cluster 6,cluster 18,cluster 13
1080,1080,1970.json,True,False,False,False,daughter,1,2005-11-17,09:37,Money,France,Unknown,Unknown,France,unknown,0.13,0.48,3,1,34.0,unknown,237562.0,6680.0,68.0,40152.69,42.87,53.76,,,,cluster 8,cluster 30,cluster 11
1081,1081,1971.json,True,False,False,False,daughter,1,2005-11-17,10:17,Money,France,Unknown,Unknown,France,unknown,0.13,0.48,3,1,34.0,unknown,237562.0,6680.0,68.0,40152.69,42.87,53.76,,,,cluster 8,cluster 30,cluster 11
1082,1082,1972.json,True,False,True,False,consultant,2,2005-11-17,21:51,Unknown,Nigeria,Unknown,Unknown,Nigeria,stranger,0.04,0.42,2,1,31.0,unknown,237562.0,6680.0,68.0,1848.19,3.55,86.62,good,long,Adult,cluster 2,cluster 27,cluster 13
1083,1083,1973.json,False,True,True,False,no title exist,2,2005-11-18,13:36,Money,Liberia,Unknown,Unknown,Liberia,friend of friend,0.15,0.46,2,2,33.0,unknown,237562.0,6680.0,68.0,438.25,0.03,86.06,good,short,Arts,cluster 2,cluster 33,cluster 2
1084,1084,1974.json,False,False,False,False,no title exist,0,2005-11-18,20:33,Money,United States,Arkansas,Clarksville,Unknown,stranger,0.12,0.27,1,1,30.0,low,237562.0,6680.0,68.0,48499.81,67.97,49.68,,,,cluster 10,cluster 22,cluster 11
1085,1085,1975.json,False,True,True,False,no title exist,1,2005-11-19,07:07,Money,Liberia,Unknown,Unknown,Liberia,stranger,0.14,0.46,2,2,31.0,unknown,237562.0,6680.0,68.0,438.25,0.03,86.06,good,short,Arts,cluster 3,cluster 3,cluster 11
1086,1086,1976.json,False,False,False,False,consultant,2,,,Money,Unknown,Unknown,Unknown,Unknown,unknown,0.36,0.55,2,1,34.0,unknown,,,,,,,,,,cluster 14,cluster 39,cluster 17
1087,1087,1977.json,True,False,False,True,no title exist,1,1998-01-01,02:38,Unknown,Unknown,Unknown,Unknown,Unknown,stranger,0.15,0.44,1,1,32.0,unknown,28985.0,1410.1,37.0,,,,,,,cluster 3,cluster 42,cluster 10
1088,1088,1978.json,True,True,False,False,manager,2,2005-11-20,12:01,Money,Spain,Unknown,Unknown,Spain,stranger,0.03,0.4,2,1,33.0,unknown,237562.0,6680.0,68.0,31029.0,47.88,44.77,,,,cluster 9,cluster 33,cluster 2
1089,1089,1979.json,True,False,True,False,no title exist,2,2005-11-20,13:29,Money,Liberia,Unknown,Unknown,Liberia,stranger,0.14,0.46,2,1,34.0,unknown,237562.0,6680.0,68.0,438.25,0.03,86.06,good,long,Arts,cluster 3,cluster 28,cluster 4
1090,1090,198.json,False,True,False,True,auditor,2,2003-05-01,18:43,Money,Nigeria,Unknown,Unknown,Nigeria,stranger,0.14,0.43,1,3,30.0,unknown,96784.0,11282.3,82.0,1673.29,0.56,86.77,,,,cluster 8,cluster 34,cluster 12
1091,1091,1980.json,False,False,False,False,lawyer,0,2005-11-21,03:45,Money,Germany,Unknown,Unknown,Germany,stranger,-0.05,0.29,1,2,34.0,unknown,237562.0,6680.0,68.0,38836.78,68.71,49.89,,,,cluster 9,cluster 11,cluster 3
1092,1092,1981.json,True,False,False,False,no title exist,1,2005-11-21,15:05,Money,United Kingdom,England,Islington,Unknown,stranger,0.09,0.38,2,1,29.0,low,237562.0,6680.0,68.0,39984.17,70.0,51.55,,,,cluster 10,cluster 2,cluster 2
1093,1093,1982.json,False,True,False,True,indigene,1,2005-11-21,18:39,Money,Senegal,Unknown,Unknown,Senegal,stranger,0.17,0.47,2,1,32.0,unknown,237562.0,6680.0,68.0,1237.21,4.79,88.55,,,,cluster 10,cluster 34,cluster 12
1094,1094,1983.json,True,False,False,False,no title exist,2,2005-11-22,15:24,Unknown,Unknown,Unknown,Unknown,Unknown,unknown,0.41,0.62,1,1,34.0,unknown,237562.0,6680.0,68.0,,,,,,,cluster 3,cluster 42,cluster 6
1095,1095,1984.json,True,False,False,True,manager,1,2005-11-22,21:26,Money,Ghana,Unknown,Unknown,Ghana,stranger,0.17,0.29,1,1,34.0,unknown,237562.0,6680.0,68.0,1076.62,1.83,77.59,,,,cluster 9,cluster 3,cluster 3
1096,1096,1985.json,True,False,False,False,son,0,2005-11-22,23:38,Money,Sweden,Skåne,Malmö,Unknown,stranger,0.1,0.45,1,1,33.0,low,237562.0,6680.0,68.0,50268.18,84.83,53.17,,,,cluster 15,cluster 22,cluster 11
1097,1097,1986.json,True,False,False,False,no title exist,1,2005-11-23,08:23,Unknown,Netherlands,Unknown,Unknown,Netherlands,stranger,0.03,0.42,1,1,34.0,unknown,237562.0,6680.0,68.0,48437.88,81.0,48.05,,,,cluster 11,cluster 40,cluster 4
1098,1098,1987.json,True,False,True,False,no title exist,1,2005-11-23,09:44,Money,Unknown,Unknown,Unknown,Unknown,stranger,0.06,0.37,1,1,35.0,unknown,237562.0,6680.0,68.0,,,,good,short,Arts,cluster 3,cluster 24,cluster 17
1099,1099,1988.json,False,True,False,False,son,1,2005-11-23,14:43,Money,Liberia,Unknown,Unknown,Liberia,stranger,0.12,0.42,1,1,34.0,unknown,237562.0,6680.0,68.0,438.25,0.03,86.06,,,,cluster 12,cluster 30,cluster 3
1100,1100,1989.json,True,False,False,False,no title exist,0,2005-11-23,17:17,Money,Israel,Central District,Petaẖ Tiqwa,Unknown,stranger,0.14,0.53,1,2,33.0,low,237562.0,6680.0,68.0,27547.83,25.19,60.96,,,,cluster 8,cluster 11,cluster 11
1101,1101,199.json,False,False,False,False,no title exist,2,2003-05-02,07:15,Money,Nigeria,Unknown,Unknown,Nigeria,stranger,0.12,0.51,1,1,34.0,unknown,96784.0,11282.3,82.0,1673.29,0.56,86.77,,,,cluster 3,cluster 13,cluster 13
1102,1102,1990.json,False,True,False,True,son,1,2005-11-24,01:32,Money,Zimbabwe,Unknown,Unknown,Zimbabwe,unknown,0.26,0.53,2,1,35.0,unknown,237562.0,6680.0,68.0,971.27,2.4,80.04,,,,cluster 1,cluster 49,cluster 16
1103,1103,1991.json,False,True,False,True,son,1,2005-11-24,01:33,Money,Zimbabwe,Unknown,Unknown,Zimbabwe,unknown,0.26,0.53,2,1,33.0,unknown,237562.0,6680.0,68.0,971.27,2.4,80.04,,,,cluster 1,cluster 49,cluster 16
1104,1104,1992.json,False,True,False,True,son,1,2005-11-24,01:55,Money,Zimbabwe,Unknown,Unknown,Zimbabwe,unknown,0.26,0.53,2,1,34.0,unknown,237562.0,6680.0,68.0,971.27,2.4,80.04,,,,cluster 1,cluster 38,cluster 12
1105,1105,1993.json,False,True,False,True,son,1,2005-11-24,01:55,Money,Zimbabwe,Unknown,Unknown,Zimbabwe,unknown,0.26,0.53,2,1,35.0,unknown,237562.0,6680.0,68.0,971.27,2.4,80.04,,,,cluster 1,cluster 49,cluster 16
1106,1106,1994.json,True,False,False,True,no title exist,1,2005-11-24,14:21,Money,Nigeria,Unknown,Unknown,Nigeria,stranger,0.03,0.28,2,1,32.0,unknown,237562.0,6680.0,68.0,1848.19,3.55,86.62,,,,cluster 11,cluster 30,cluster 11
1107,1107,1995.json,True,False,True,False,no title exist,1,2005-11-25,20:03,Money,Unknown,Unknown,Unknown,Unknown,stranger,0.06,0.37,1,1,31.0,unknown,237562.0,6680.0,68.0,,,,good,short,Arts,cluster 3,cluster 24,cluster 17
1108,1108,1996.json,True,False,False,True,no title exist,1,,,Money,South Africa,Unknown,Unknown,South Africa,stranger,0.16,0.57,2,1,32.0,unknown,,,,,,,,,,cluster 7,cluster 31,cluster 8
1109,1109,1997.json,True,True,False,False,victim,1,1998-01-01,00:30,Money,Senegal,Unknown,Unknown,Senegal,friend of friend,0.11,0.44,2,1,33.0,unknown,28985.0,1410.1,37.0,1065.01,0.08,93.96,,,,cluster 4,cluster 7,cluster 1
1110,1110,1998.json,True,False,False,False,no title exist,2,2005-11-27,03:21,Money,Zimbabwe,Unknown,Unknown,Zimbabwe,unknown,0.2,0.45,2,2,34.0,unknown,237562.0,6680.0,68.0,971.27,2.4,80.04,,,,cluster 11,cluster 30,cluster 11
1111,1111,1999.json,True,True,False,True,head,2,2005-11-27,23:17,Money,Hong Kong,Unknown,Unknown,Hong Kong,stranger,0.06,0.47,1,1,34.0,unknown,237562.0,6680.0,68.0,,,,,,,cluster 4,cluster 51,cluster 4
1112,1112,2.json,True,False,False,False,son,2,2002-10-31,21:17,Money,Nigeria,Unknown,Unknown,Nigeria,stranger,0.07,0.48,2,2,30.0,unknown,7811.0,1655.428,70.0,1598.82,0.32,86.8,,,,cluster 1,cluster 17,cluster 2
1113,1113,20.json,False,True,False,False,no title exist,2,2002-11-17,01:09,Money,Ghana,Unknown,Unknown,Ghana,stranger,0.09,0.46,2,3,34.0,unknown,7811.0,1655.428,70.0,986.02,0.83,81.1,,,,cluster 11,cluster 17,cluster 2
1114,1114,200.json,False,False,False,False,christian,1,2003-05-02,12:36,Money,Angola,Unknown,Unknown,Angola,stranger,0.23,0.48,2,1,34.0,unknown,96784.0,11282.3,82.0,2433.86,0.37,98.48,,,,cluster 10,cluster 3,cluster 11
1115,1115,2000.json,False,True,False,True,head,2,2005-11-27,23:17,Money,Hong Kong,Unknown,Unknown,Hong Kong,stranger,0.06,0.47,1,1,31.0,unknown,237562.0,6680.0,68.0,,,,,,,cluster 4,cluster 18,cluster 3
1116,1116,2001.json,False,True,False,True,head,2,2005-11-27,23:17,Money,Hong Kong,Unknown,Unknown,Hong Kong,stranger,0.06,0.47,1,1,33.0,unknown,237562.0,6680.0,68.0,,,,,,,cluster 4,cluster 18,cluster 3
1117,1117,2002.json,True,True,False,True,director,2,2005-11-28,16:11,Money,South Africa,Unknown,Unknown,South Africa,stranger,0.2,0.31,1,1,30.0,unknown,237562.0,6680.0,68.0,6729.83,7.49,55.02,,,,cluster 9,cluster 33,cluster 2
1118,1118,2003.json,True,True,False,False,no title exist,2,2005-11-28,22:30,Unknown,Angola,Unknown,Unknown,Angola,friend of friend,0.11,0.47,2,1,34.0,unknown,237562.0,6680.0,68.0,2896.55,1.14,97.67,,,,cluster 10,cluster 2,cluster 2
1119,1119,2004.json,True,False,False,True,widow,1,2005-11-29,03:51,Money,South Africa,Unknown,Unknown,South Africa,stranger,0.09,0.54,1,1,34.0,unknown,237562.0,6680.0,68.0,6729.83,7.49,55.02,,,,cluster 4,cluster 11,cluster 3
1120,1120,2005.json,True,True,False,False,no title exist,2,2005-11-29,05:30,Money,United Kingdom,England,Camden Town,Unknown,stranger,0.21,0.51,2,3,34.0,low,237562.0,6680.0,68.0,39984.17,70.0,51.55,,,,cluster 10,cluster 7,cluster 1
1121,1121,2006.json,False,True,False,False,no title exist,2,2005-11-29,05:30,Money,United Kingdom,England,Camden Town,Unknown,stranger,0.21,0.51,2,3,34.0,low,237562.0,6680.0,68.0,39984.17,70.0,51.55,,,,cluster 10,cluster 1,cluster 12
1122,1122,2007.json,False,True,False,True,no title exist,1,2005-11-29,07:13,Money,Singapore,Unknown,Unknown,Singapore,stranger,0.06,0.41,1,1,33.0,unknown,237562.0,6680.0,68.0,40498.71,61.0,32.28,,,,cluster 11,cluster 30,cluster 2
1123,1123,2008.json,False,False,False,False,person,1,2005-11-29,08:13,Money,United Kingdom,Unknown,Unknown,United Kingdom,stranger,0.14,0.46,2,1,34.0,unknown,237562.0,6680.0,68.0,39984.17,70.0,51.55,,,,cluster 12,cluster 30,cluster 11
1124,1124,2009.json,False,False,False,False,person,1,2005-11-29,08:13,Money,United Kingdom,Unknown,Unknown,United Kingdom,stranger,0.14,0.46,2,1,34.0,unknown,237562.0,6680.0,68.0,39984.17,70.0,51.55,,,,cluster 12,cluster 30,cluster 11
1125,1125,201.json,False,False,True,False,no title exist,1,2003-05-02,14:37,Money,Israel,Hadarom,Mizpe Ramon,Unknown,stranger,0.07,0.44,2,1,35.0,low,96784.0,11282.3,82.0,26360.09,19.59,61.13,,short,,cluster 2,cluster 11,cluster 11
1126,1126,2010.json,True,False,False,False,person,1,2005-11-29,08:13,Money,United Kingdom,Unknown,Unknown,United Kingdom,stranger,0.14,0.46,2,1,34.0,unknown,237562.0,6680.0,68.0,39984.17,70.0,51.55,,,,cluster 12,cluster 22,cluster 3
1127,1127,2011.json,True,False,True,False,director,2,2005-11-29,12:01,Money,Benin,Unknown,Unknown,Benin,stranger,0.14,0.39,2,1,33.0,unknown,237562.0,6680.0,68.0,989.37,1.27,90.82,good,short,Adult,cluster 8,cluster 57,cluster 4
1128,1128,2012.json,False,False,True,False,director,2,2005-11-29,12:01,Money,Benin,Unknown,Unknown,Benin,stranger,0.14,0.39,2,1,34.0,unknown,237562.0,6680.0,68.0,989.37,1.27,90.82,good,short,Adult,cluster 8,cluster 15,cluster 4
1129,1129,2013.json,True,False,False,False,official,1,2005-11-29,14:13,Money,Israel,Central District,Petaẖ Tiqwa,Unknown,friend of friend,0.15,0.51,2,1,34.0,low,237562.0,6680.0,68.0,27547.83,25.19,60.96,,,,cluster 12,cluster 34,cluster 1
1130,1130,2014.json,False,False,False,False,auditor,1,2005-11-29,15:35,Service,Unknown,Unknown,Unknown,Unknown,stranger,0.15,0.49,1,1,34.0,unknown,237562.0,6680.0,68.0,,,,,,,cluster 8,cluster 20,cluster 10
1131,1131,2015.json,True,False,False,False,lady,0,2005-12-01,02:09,Money,Unknown,Unknown,Unknown,Unknown,stranger,0.15,0.32,1,1,33.0,unknown,237562.0,6680.0,68.0,,,,,,,cluster 4,cluster 21,cluster 9
1132,1132,2016.json,True,False,False,False,no title exist,0,2015-12-01,14:40,Money,Unknown,Unknown,Unknown,Unknown,stranger,0.03,0.38,2,1,30.0,unknown,,,,,,,,,,cluster 7,cluster 47,cluster 7
1133,1133,2017.json,True,True,False,False,victim,1,2005-12-03,14:09,Money,Senegal,Unknown,Unknown,Senegal,stranger,0.12,0.47,1,2,34.0,unknown,237562.0,6680.0,68.0,1237.21,4.79,88.55,,,,cluster 9,cluster 33,cluster 11
1134,1134,2018.json,True,True,False,True,head,2,2005-12-05,06:31,Money,Hong Kong,Unknown,Unknown,Hong Kong,stranger,0.07,0.5,1,1,33.0,unknown,237562.0,6680.0,68.0,,,,,,,cluster 4,cluster 15,cluster 13
1135,1135,2019.json,True,True,False,True,head,2,2005-12-05,07:21,Money,Hong Kong,Unknown,Unknown,Hong Kong,stranger,0.07,0.5,1,1,34.0,unknown,237562.0,6680.0,68.0,,,,,,,cluster 4,cluster 15,cluster 4
1136,1136,202.json,,False,False,False,no title exist,0,,,Service,Unknown,Unknown,Unknown,Unknown,unknown,0.43,0.83,3,1,34.0,unknown,,,,,,,,,,cluster 14,cluster 45,cluster 7
1137,1137,2020.json,True,False,False,False,no title exist,2,2005-12-05,15:55,Money,Unknown,Unknown,Unknown,Unknown,unknown,0.12,0.36,1,1,34.0,unknown,237562.0,6680.0,68.0,,,,,,,cluster 3,cluster 12,cluster 9
1138,1138,2021.json,True,True,False,False,no title exist,2,2005-12-06,14:04,Unknown,Unknown,Unknown,Unknown,Unknown,unknown,0.44,0.56,1,1,34.0,unknown,237562.0,6680.0,68.0,,,,,,,cluster 11,cluster 20,cluster 10
1139,1139,2022.json,False,False,False,False,no title exist,0,,,Money,Ivory Coast,Unknown,Unknown,Ivory Coast,unknown,0.25,0.41,3,1,33.0,unknown,,,,,,,,,,cluster 7,cluster 24,cluster 8
1140,1140,2023.json,True,True,False,False,no title exist,2,2005-12-06,23:12,Money,Sweden,Skåne,Malmö,Unknown,stranger,0.11,0.46,1,1,34.0,low,237562.0,6680.0,68.0,50268.18,84.83,53.17,,,,cluster 10,cluster 30,cluster 11
1141,1141,2024.json,True,False,False,False,no title exist,2,2005-12-07,18:08,Money,Senegal,Unknown,Unknown,Senegal,stranger,0.23,0.51,1,1,34.0,unknown,237562.0,6680.0,68.0,1237.21,4.79,88.55,,,,cluster 3,cluster 18,cluster 4
1142,1142,2025.json,True,False,True,True,accountant,1,2005-12-01,16:45,Money,Nigeria,Unknown,Unknown,Nigeria,stranger,0.11,0.4,2,1,34.0,unknown,237562.0,6680.0,68.0,1848.19,3.55,86.62,,short,,cluster 2,cluster 13,cluster 13
1143,1143,2026.json,True,False,True,False,attorney,1,2005-12-07,22:38,Money,United States,New York,Manhattan,Unknown,stranger,0.12,0.25,3,2,34.0,low,237562.0,6680.0,68.0,48499.81,67.97,49.68,bad,short,Adult,cluster 9,cluster 27,cluster 13
1144,1144,2027.json,True,True,False,False,no title exist,2,,,Unknown,Unknown,Unknown,Unknown,Unknown,stranger,0.35,0.52,3,3,33.0,unknown,,,,,,,,,,cluster 14,cluster 26,cluster 8
1145,1145,2028.json,True,True,False,False,no title exist,2,2005-12-10,21:12,Money,United Kingdom,Unknown,Unknown,United Kingdom,stranger,0.06,0.34,1,1,35.0,unknown,237562.0,6680.0,68.0,39984.17,70.0,51.55,,,,cluster 10,cluster 9,cluster 3
1146,1146,2029.json,True,True,False,False,head,2,2005-12-12,13:57,Money,Iraq,Unknown,Unknown,Iraq,stranger,0.09,0.44,1,1,34.0,unknown,237562.0,6680.0,68.0,3868.41,0.9,83.15,,,,cluster 1,cluster 3,cluster 3
1147,1147,203.json,True,True,True,True,no title exist,1,2003-05-05,02:50,Money,Nigeria,Unknown,Unknown,Nigeria,stranger,0.03,0.45,2,1,35.0,unknown,96784.0,11282.3,82.0,1673.29,0.56,86.77,,short,,cluster 11,cluster 13,cluster 3
1148,1148,2030.json,True,False,False,False,no title exist,1,2005-12-12,16:37,Money,Unknown,Unknown,Unknown,Unknown,stranger,0.18,0.45,1,1,34.0,unknown,237562.0,6680.0,68.0,,,,,,,cluster 3,cluster 25,cluster 8
1149,1149,2031.json,True,False,False,True,widow,0,2005-12-12,20:33,Money,Nigeria,Unknown,Unknown,Nigeria,friend of friend,-0.02,0.42,2,1,33.0,unknown,237562.0,6680.0,68.0,1848.19,3.55,86.62,,,,cluster 12,cluster 33,cluster 11
1150,1150,2032.json,True,False,False,False,member,1,2005-12-12,22:55,Money,Spain,Unknown,Unknown,Spain,stranger,0.06,0.43,1,1,33.0,unknown,237562.0,6680.0,68.0,31029.0,47.88,44.77,,,,cluster 6,cluster 9,cluster 3
1151,1151,2033.json,True,False,False,False,no title exist,1,2005-12-12,09:52,Money,South Africa,Unknown,Unknown,South Africa,stranger,0.09,0.43,2,2,28.0,unknown,237562.0,6680.0,68.0,6729.83,7.49,55.02,,,,cluster 11,cluster 33,cluster 11
1152,1152,2034.json,True,False,False,False,no title exist,0,2005-12-13,12:41,Unknown,Unknown,Unknown,Unknown,Unknown,unknown,0.0,0.0,3,1,34.0,unknown,237562.0,6680.0,68.0,,,,,,,cluster 11,cluster 6,cluster 6
1153,1153,2035.json,True,False,False,False,no title exist,1,2005-12-14,12:40,Money,United States,Arkansas,Clarksville,Unknown,stranger,0.06,0.47,2,1,34.0,low,237562.0,6680.0,68.0,48499.81,67.97,49.68,,,,cluster 10,cluster 30,cluster 11
1154,1154,2036.json,True,True,True,False,wife,2,2005-12-15,01:50,Money,Sudan,Unknown,Unknown,Sudan,stranger,0.02,0.32,1,1,34.0,unknown,237562.0,6680.0,68.0,1178.23,1.29,87.24,,long,,cluster 12,cluster 27,cluster 13
1155,1155,2037.json,True,False,False,True,widow,0,2005-12-15,18:04,Money,Nigeria,Unknown,Unknown,Nigeria,friend of friend,-0.03,0.42,3,1,35.0,unknown,237562.0,6680.0,68.0,1848.19,3.55,86.62,,,,cluster 12,cluster 33,cluster 11
1156,1156,2038.json,True,False,False,False,no title exist,1,2005-12-15,18:34,Money,Iraq,Unknown,Unknown,Iraq,stranger,0.18,0.47,1,1,34.0,unknown,237562.0,6680.0,68.0,3868.41,0.9,83.15,,,,cluster 2,cluster 28,cluster 4
1157,1157,2039.json,True,False,True,False,son,2,2005-12-15,20:53,Money,Senegal,Unknown,Unknown,Senegal,stranger,0.12,0.41,3,1,30.0,unknown,237562.0,6680.0,68.0,1237.21,4.79,88.55,good,short,Arts,cluster 12,cluster 18,cluster 13
1158,1158,204.json,True,False,False,True,no title exist,1,2003-05-06,09:47,Money,Taiwan,Unknown,Unknown,Taiwan,stranger,0.18,0.39,1,1,33.0,unknown,96784.0,11282.3,82.0,,,,,,,cluster 3,cluster 20,cluster 14
1159,1159,2040.json,True,True,True,True,wife,2,,,Money,Zimbabwe,Unknown,Unknown,Zimbabwe,stranger,0.15,0.47,2,2,34.0,unknown,,,,,,,bad,short,Computers,cluster 8,cluster 39,cluster 17
1160,1160,2041.json,True,True,False,False,head,2,2005-12-19,09:28,Money,Iraq,Unknown,Unknown,Iraq,friend of friend,0.09,0.44,1,2,34.0,unknown,237562.0,6680.0,68.0,3868.41,0.9,83.15,,,,cluster 15,cluster 46,cluster 2
1161,1161,2042.json,True,False,False,False,no title exist,0,2005-12-19,16:56,Money,Unknown,Unknown,Unknown,Unknown,stranger,0.14,0.55,2,1,32.0,unknown,237562.0,6680.0,68.0,,,,,,,cluster 3,cluster 10,cluster 9
1162,1162,2043.json,True,False,True,False,no title exist,0,2005-12-21,12:32,Money,Unknown,Unknown,Unknown,Unknown,stranger,0.17,0.33,3,1,34.0,unknown,237562.0,6680.0,68.0,,,,,short,,cluster 3,cluster 39,cluster 7
1163,1163,2044.json,True,True,False,True,son,2,,,Money,Unknown,Unknown,Unknown,Unknown,stranger,0.05,0.5,1,1,33.0,unknown,,,,,,,,,,cluster 9,cluster 55,cluster 17
1164,1164,2045.json,True,True,False,True,son,2,2005-12-21,14:25,Money,Unknown,Unknown,Unknown,Unknown,stranger,0.08,0.49,1,1,32.0,unknown,237562.0,6680.0,68.0,,,,,,,cluster 12,cluster 29,cluster 14
1165,1165,2046.json,True,True,False,False,auditor,1,2005-12-22,15:59,Money,Sweden,Skåne,Malmö,Unknown,stranger,0.08,0.41,2,2,34.0,low,237562.0,6680.0,68.0,50268.18,84.83,53.17,,,,cluster 4,cluster 38,cluster 12
1166,1166,2047.json,True,False,False,False,son,1,2005-12-22,16:36,Money,Unknown,Unknown,Unknown,Unknown,stranger,0.14,0.51,2,1,33.0,unknown,237562.0,6680.0,68.0,,,,,,,cluster 12,cluster 29,cluster 10
1167,1167,2048.json,True,False,True,False,no title exist,1,2005-12-22,22:42,Money,Australia,Tasmania,Hobart,Unknown,stranger,0.06,0.37,1,1,34.0,low,237562.0,6680.0,68.0,48813.92,63.0,48.56,good,short,Arts,cluster 2,cluster 18,cluster 4
1168,1168,2049.json,True,False,False,False,merchant,2,2005-12-22,22:50,Service,Ireland,Unknown,Unknown,Ireland,stranger,0.08,0.48,1,1,34.0,unknown,237562.0,6680.0,68.0,52276.24,41.61,44.33,,,,cluster 8,cluster 22,cluster 3
1169,1169,205.json,False,False,False,True,no title exist,1,2003-05-06,09:48,Money,Taiwan,Unknown,Unknown,Taiwan,stranger,0.18,0.39,1,1,34.0,unknown,96784.0,11282.3,82.0,,,,,,,cluster 3,cluster 36,cluster 14
1170,1170,2050.json,True,False,False,False,no title exist,1,2005-12-23,17:13,Money,Kuwait,Unknown,Unknown,Kuwait,stranger,0.09,0.38,1,1,32.0,unknown,237562.0,6680.0,68.0,47987.46,25.93,39.16,,,,cluster 11,cluster 27,cluster 13
1171,1171,2051.json,False,False,False,False,no title exist,1,2005-12-24,13:47,Money,Nigeria,Unknown,Unknown,Nigeria,friend of friend,-0.01,0.5,1,1,34.0,unknown,237562.0,6680.0,68.0,1848.19,3.55,86.62,,,,cluster 2,cluster 11,cluster 3
1172,1172,2052.json,False,False,False,True,son,0,2005-12-25,13:16,Money,Zimbabwe,Unknown,Unknown,Zimbabwe,stranger,0.18,0.51,1,1,34.0,unknown,237562.0,6680.0,68.0,971.27,2.4,80.04,,,,cluster 12,cluster 13,cluster 3
1173,1173,2053.json,True,False,False,True,son,0,2005-12-25,13:16,Money,Zimbabwe,Unknown,Unknown,Zimbabwe,stranger,0.18,0.51,1,1,34.0,unknown,237562.0,6680.0,68.0,971.27,2.4,80.04,,,,cluster 12,cluster 27,cluster 13
1174,1174,2054.json,True,False,False,False,no title exist,0,2005-12-25,16:00,Money,Ghana,Unknown,Unknown,Ghana,unknown,0.5,0.5,3,1,33.0,unknown,237562.0,6680.0,68.0,1076.62,1.83,77.59,,,,cluster 2,cluster 13,cluster 3
1175,1175,2055.json,True,True,False,False,no title exist,1,2005-12-28,18:09,Money,Iraq,Unknown,Unknown,Iraq,stranger,0.17,0.47,1,1,33.0,unknown,237562.0,6680.0,68.0,3868.41,0.9,83.15,,,,cluster 2,cluster 13,cluster 3
1176,1176,2056.json,True,True,False,True,head,2,2005-12-28,21:37,Money,Hong Kong,Unknown,Unknown,Hong Kong,stranger,0.07,0.46,1,1,34.0,unknown,237562.0,6680.0,68.0,,,,,,,cluster 4,cluster 51,cluster 4
